"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Parafia Matki Bożej Królowej Polski","84-210","Choczewo","84-210 Choczewo, Pierwszych Osadników 57","","","58 572 38 96","ks. Wojciech Szmeichel","godz. 8.00, 9.15 (Łętowo) godz. 9.15 (Osieki), 10.30 (Lublewo) godz. 10.30 (Kopalino), 1:200 ","godz. 17.00 (zimą), 18.00","godz. 16.00, 17.00, 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=208:Parafia-Matki-Bozej-Krolowej-Polski"
"Parafia Chrystusa Króla","89-600","Chojnice","89-600 Chojnice, Ducha Świętego 4","","","52 397 41 08","o. Mirosław Zabrocki CSSp","godz. 8.00, 10.00, 12.00, 18.30 ","godz. 8.00, 18.30","godz. 8.30, 18.30 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=170:Parafia-Chrystusa-Krola"
"Parafia Chrystusa Miłosiernego","89-604","Chojnice","89-604 Chojnice, pl. św. Faustyny 1","","","52 515 31 77","ks. Jarosław Burandt, mgr teol.","godz. 8.00, 9.30, 11.00, 17.00 ","godz. 8.00, 18.00","godz. 8.00, 16.30, 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=171:Parafia-Chrystusa-Milosiernego"
"Parafia Świętej Jadwigi Królowej","89-600","Chojnice","89-600 Chojnice, ul. Wiśniowa 33","","","52 395 52 84","ks. Henryk Cyrzan, mgr teol.","godz. 7.30, 9.00, 11.00, 17.00 (zimą), 18.00 ","godz. 8.00, 17.00 (zimą), 18.00","godz. 7.30, 9.00, 11.00, 17.00 (zimą), 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=172:Parafia-Swietej-Jadwigi-Krolowej"
"Parafia Ścięcia Świętego Jana Chrzciciela","89-600","Chojnice","89-600 Chojnice, plac Kościelny 5","","","52 397 50 08","ks. prał. Jacek Dawidowski, mgr teol., dziekan","godz. 6.00, 7.30, 8.30 (szpital), 9.00 godz. 10.30, 12.00, 14.00, 19.00 ","godz. 7.00, 8.30, 17.00 (zimą), 19.00","godz. 6.00, 7.00, 8.30, 10.00, 17.00, 19.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=173:Parafia-Sciecia-Swietego-Jana-Chrzciciela"
"Parafia Matki Bożej Królowej Polski","89-604","Chojnice","89-604 Chojnice, Obrońców Chojnic 4","","","52 397 51 20, 52 397 43 80, kom. 507 184 330","ks. Adam Matuszewski, mgr teol., mgr psychologii","godz. 6.00, 7.30, 9.00, 10.30, 12.00, 14.00, 18.30 ","godz. 6.30, 7.00, 8.30, 18.30","godz. 6.00, 8.30, 10.00, 15.15, 17.00, 18.30 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=174:Parafia-Matki-Bozej-Krolowej-Polski"
"Parafia Matki Boskiej Fatimskiej","89-600","Chojnice","89-600 Chojnice, al. MB Fatimskiej 21, www.fatimachojnice.pl","","","","ks. Tomasz Mońko","godz. 7.00, 8.30, 10.00 (Nieżywięć), 1:030 godz. 12.00, 14.30, 17.00 godz. 19.00 (zimą), 20.00 (latem) ","godz. 8.30, 17.30 środy: godz. 18.15 (Nieżywięć)","godz. 8.30, 10.00, 16.00, 17.30, 18.15 (Nieżywięć), 19.00 ","53.6944002,17.5569252","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=175:Parafia-Matki-Boskiej-Fatimskiej"
"Parafia Trójcy Świętej","89-600","Chojnice","89-600 Chojnice, Nieżychowice","","","52 398 10 22","ks. Ryszard Ptak, mgr teol.","godz. 8.00, 9.15 (Moszczenica), 11.00 ","godz. 7.00 (środa), 18.00 środy: godz. 18.00 (Moszczenica)","godz. 7.00, 17.00 (Moszczenica), 18.30 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=176:Parafia-Trojcy-Swietej"
"Parafia Nawiedzenia Najświętszej Maryi Panny","77-300","Chrząstowo","77-300 Chrząstowo, Chrząstowo 15","","","59 832 21 31; kom. 600 236 019","ks. Jerzy Prekop, mgr teol.","godz. 9.00 (Barkowo) godz. 10.30 (Chrząstowo) godz. 12.00 (Biskupnica) ","godz. 16.00 (zimą), 17.00 (latem)","godz. 16.00 (Barkowo) godz. 17.00 (Biskupnica) godz. 18.00 (Chrząstowo) ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=187:Parafia-Nawiedzenia-Najswietszej-Maryi-Panny"
"Parafia Świętego Stanisława Kostki","77-116","Czarna Dąbrówka","77-116 Czarna Dąbrówka","","","59 821 26 81","ks. Antoni Stranc","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=303:Parafia-Swietego-Stanislawa-Kostki"
"Parafia Matki Bożej Częstochowskiej","83-262","Czarna Woda","83-262 Czarna Woda, Starogardzka 22","","","58 587 87 02","ks. Roman Bruski","godz. 8.00, 9.30, 11.00, 16.00 ","godz. 8.00, 17.00 (zimą), 18.00","godz. 8.00, 10.00, 17.00 (zimą), 18.00 (latem) ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=177:Parafia-Matki-Bozej-Czestochowskiej"
"Parafia Świętego Andrzeja Apostoła","83-213 Pączewo","Czarnylas","83-213 Pączewo Czarnylas","","","58 562 18 33","ks. Piotr Wilkowski","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=363:Parafia-Swietego-Andrzeja-Apostola"
"Parafia Świętej Marii Magdaleny","89-650","Czersk","89-650 Czersk, Kościuszki 34","","","52 398 42 20","ks. dr Zbigniew Straszewski","godz. 6.30, 7.30, 8.45, 11.00, 12.30, 18.00 godz. 9.45 (Krzyż) ","godz. 6.30, 7.00, 8.45, 17.30, 18.00 (latem)","godz. 6.15, 7.00, 8.45, 11.00, 16.15 godz. 17.30, 18.00 (latem) ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=178:Parafia-Swietej-Marii-Magdaleny"
"Parafia Świętego Jakuba Apostoła","77-300","Człuchów","77-300 Człuchów, Królewska 6","","","59 834 25 04","ks. Dariusz Bartnicki, mgr teol.","godz. 7.00, 8.30, 9.00 (Krępsk), 10.00 godz. 11.15, 14.00, 18.00 ","godz. 6.30, 1:800","godz. 6.30, 9.00, 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=188:Parafia-Swietego-Jakuba-Apostola"
